date,total_value,daily_return,cumulative_return,source
2026-01-12,100000.0,0.0,0.0,live
2026-01-13,98858.72072421425,-0.0114127927578576,-0.01141279275785756,live
2026-01-14,98186.45574952032,-0.0068002597016135,-0.018135442504796928,live
2026-01-15,100014.70893032651,0.0186202176955054,0.00014708930326490233,live
2026-01-16,99381.22204467506,-0.0063339372021045,-0.006187779553249562,live
2026-01-21,100704.7705384854,0.0133178931248738,0.007047705384853886,backtest
2026-01-28,97258.61850505056,-0.0342203454216487,-0.027413814949494575,backtest
2026-02-04,105617.4972332794,0.0859448638764571,0.05617497233279378,backtest
2026-02-11,105295.32488208746,-0.0030503691114774,0.05295324882087438,backtest
2026-02-18,111883.57497944866,0.0625692556126201,0.1188357497944863,backtest
2026-02-25,113311.56889249015,0.0127632131285024,0.13311568892490122,backtest
2026-03-04,109331.97566970746,-0.0351208024183172,0.09331975669707449,backtest
2026-03-11,111127.09181882696,0.0164189491511848,0.1112709181882694,backtest
2026-03-18,110850.99063679382,-0.0024845532940182,0.108509906367938,backtest
2026-03-25,109358.87684041153,-0.013460536417498,0.09358876840411501,backtest
2026-04-01,116483.9030787617,0.0651527013097236,0.16483903078761664,backtest
2026-04-08,125607.78010626673,0.0783273635786039,0.256077801062667,backtest
2026-04-15,131323.0552199097,0.0455009642619886,0.31323055219909657,backtest
2026-04-22,131074.29150128175,-0.0018942882360707,0.31074291501281714,backtest
2026-04-29,148552.87810991015,0.1333487017815196,0.4855287810991009,backtest
2026-05-06,151363.06294681667,0.0189170675968147,0.5136306294681663,backtest
2026-05-13,148542.95831167267,-0.0186313924959016,0.48542958311672635,backtest
2026-05-20,155672.45037027707,0.0479961631277418,0.5567245037027704,backtest
2026-05-27,162993.2260662287,0.0470267904085705,0.6299322606622866,backtest
2026-06-03,145835.87849418388,-0.1052641756110362,0.45835878494183846,backtest
2026-06-10,163362.06393418746,0.1201774599019716,0.6336206393418742,backtest
2026-06-17,171859.7751877611,0.0520176536028402,0.7185977518776103,backtest
2026-06-24,169567.7590856862,-0.0133365477731528,0.6956775908568615,live
2026-07-01,160050.10654668428,-0.05612890439975954,0.6005010654668423,backtest
2026-07-08,158598.96495039217,-0.009066795565480252,0.5859896495039212,backtest
2026-07-15,159346.81984441265,0.004715383194678469,0.5934681984441259,backtest
2026-07-22,137779.41387738078,-0.13534883211406673,0.3777941387738075,backtest
2026-07-29,131669.41596479344,-0.0443462324351664,0.31669415964793424,live
