symbol,date,open,high,low,close,volume,change,changePercent,vwap
SPY,2021-01-04,348.4910953504895,348.6211048320288,338.75069884953416,342.43701171875,110210800,-6.054083631739502,-1.7372276401067583,343.26960513343766
SPY,2021-01-05,341.7962383123607,345.88181651795514,341.74979422078724,344.79541015625,66426200,2.9991718438893145,0.8774736254260446,344.1423402983308
SPY,2021-01-06,343.29115366008426,350.0416701451585,342.743317442046,346.85675048828125,107997700,3.5655968281969876,1.038650949837037,346.54724602516194
SPY,2021-01-07,349.2246280958658,352.7530761209453,349.0482028609267,352.01025390625,68766800,2.7856258103842038,0.7976601838114121,351.2705109627073
SPY,2021-01-08,353.3937031789076,354.2293850911422,350.1531015213458,354.0158386230469,71677200,0.6221354441393032,0.1760459902208115,352.7994417451783
SPY,2021-01-11,350.8496057451857,353.3845073084547,350.7288907494389,351.62957763671875,51034700,0.7799718915330232,0.2223094678634182,351.9143252315375
SPY,2021-01-12,351.8152452148604,352.7159036317569,349.4660070637659,351.70379638671875,52547700,-0.11144882814164703,-0.03167822590336671,351.2952356940805
SPY,2021-01-13,351.6294468854472,353.6443664384586,350.84947528394184,352.6508483886719,45303600,1.0214015032246948,0.29047666862708577,352.38156337035747
SPY,2021-01-14,353.39372265354797,353.89514316325904,351.0816626236897,351.4159240722656,49989100,-1.977798581282343,-0.5596586624209202,352.13090995307147
SPY,2021-01-15,349.800282405299,350.59881478443,346.9960962553196,348.8531799316406,107160000,-0.94710247365839,-0.27075520555498633,348.8160303237967
SPY,2021-01-19,351.3044700083426,352.13088573862603,349.82809207789774,351.5923156738281,51233300,0.28784566548551993,0.08193623766833491,351.1837644967839
SPY,2021-01-20,353.876603510318,357.2936593696755,353.4866317659634,356.4579772949219,61836100,2.5813737846038975,0.7294559060976837,355.74608947685357
SPY,2021-01-21,357.0149723281148,357.4421218924977,355.8635897422049,356.7828369140625,47840100,-0.23213541405232263,-0.06502119856166101,356.6961828495884
SPY,2021-01-22,354.9350947122526,356.68075778914084,354.55438918277406,355.52008056640625,52860500,0.5849858541536719,0.16481488104970923,355.58507584610703
SPY,2021-01-25,356.25362897614195,357.2750022410849,351.415906011499,356.92218017578125,70402000,0.6685511996392961,0.1876615830021674,355.20436280945506
SPY,2021-01-26,357.86925374578055,358.2778143535909,356.1328853310083,356.3650207519531,42665300,-1.5042329938274293,-0.4203303240171593,356.9252401455174
SPY,2021-01-27,353.05012900637144,353.1429888444501,345.4268095254111,347.6553039550781,123351100,-5.39482505129331,-1.5280620535323328,348.7417007749798
SPY,2021-01-28,349.46605821559444,354.63804402595747,349.0296706731077,350.64532470703125,94198100,1.179266491436806,0.3374480764908181,351.4376798020321
